suit,card,question a,answer a,question b,answer b
D,5,"If a program needs to make a decision, like checking if a user is over 18, what kind of statement would it use?","An ""if"" statement (or a conditional statement).","What is the purpose of leaving notes in your code that the computer ignores?","They are comments to help humans understand the code."
D,4,"What is a ""function argument"" or ""parameter""?","A piece of information you give to a function for it to work with.","If you have a list of tasks, what action do you perform to add a new task to the very end?","You append it."
D,3,"What is a variable?","A named container for storing a value.","What does the equals sign typically do in programming?","It assigns a value to a variable."
D,2,"What is the common term for a mistake in a program?","A bug.","What is a ""string""?","A sequence of characters, or simply, text."
H,Ace,"What does the acronym **GDG** stand for?","Google Developer Groups.","What is the primary focus of GDG communities?","Helping developers learn, connect, and build using Google technologies."
H,King,"What is one of the biggest annual events hosted by GDG communities?","DevFest — a global developer conference organized by GDGs.","What is the minimum age requirement to join a GDG?","Usually 18 years old, though some chapters allow younger students with permission."
H,Queen,"GDGs host local events like talks, workshops, and what technical collaborative event?","Hackathons.","What is the GDG sibling program that promotes women in technology?","Women Techmakers (WTM)."
H,Jack,"Which Google I/O-related event do GDGs often host to share new announcements?","Google I/O Extended.","Are GDG communities non-profit or commercial?","Non-profit and volunteer-run."
H,10,"In most GDGs, are events free or paid for attendees?","Usually free and open to everyone.","The GDG program is active in over how many countries worldwide?","Over 100 countries."
H,9,"What is the title for a certified technical expert who presents at GDG events?","Google Developer Expert (GDE).","What is the term for GDGs located at universities or colleges?","Google Developer Student Clubs (GDSC)."
H,8,"Flutter, Android, and Kotlin fall under what main development area discussed at GDGs?","Mobile and app development.","What online platform do GDG organizers use to schedule and manage events?","The GDG community platform (gdg.community.dev)."
H,7,"What core value defines how GDG members join and participate?","Openness and inclusivity.","GDGs adapt Google’s global tools to fit what specific contexts?","Local community needs and cultures."
H,6,"What are the hands-on coding sessions hosted by GDGs called?","Codelabs or coding workshops.","What is the title for the volunteer who manages a local GDG chapter?","GDG Organizer or Chapter Lead."
H,5,"In mainframe systems, what does GDG stand for?","Generation Data Group.","Which of Google’s platforms is a key focus area for many GDG chapters?","Google Cloud Platform (GCP)."
H,4,"GDG chapters were formerly known as what?","Google Technology User Groups (GTUGs).","In mainframe JCL, which parameter sets the max number of datasets in a GDG?","The `LIMIT` parameter."
H,3,"What type of feedback loop do GDGs provide to Google product teams?","Community insights and developer feedback.","In mainframe GDG, which relative number refers to the current dataset?","(0)."
H,2,"Which recent Google AI model is a big discussion topic in GDGs?","Gemini (Google’s AI model).","Approximately how many GDG communities exist worldwide?","Around 1,000+ chapters globally."
C,Ace,"What is the average-case time complexity for Quicksort?","O(n log n).","What memory management technique allows an OS to use disk space as if it were RAM?","Virtual memory."
C,King,"Which OSI layer handles logical addressing (like IP)?","The Network layer (Layer 3).","The Singleton pattern ensures a class has how many instances?","Exactly one."
C,Queen,"What is the smallest physical unit of memory addressable by the CPU?","A byte.","What does Big O Notation specifically measure?","The time or space complexity growth rate of an algorithm."
C,Jack,"What is the key that links two tables in a relational database?","A foreign key.","What process turns source code directly into machine code?","Compilation."
C,10,"In OOP, the ability of a single function to behave differently is called what?","Polymorphism.","What is the main advantage of fiber optic cable over copper?","Higher speed and longer transmission distance with less signal loss."
C,9,"Which Git command downloads data from a remote repository without changing your files?","`git fetch`.","Which network device filters traffic based on security rules?","A firewall."
C,8,"Which data structure uses the LIFO (Last In, First Out) principle?","A stack.","What is the main function of a computer’s operating system?","Managing hardware, software, and system resources."
C,7,"What type of malicious program replicates itself without infecting other files?","A worm.","What does the acronym VPN stand for?","Virtual Private Network."
C,6,"What computer part is responsible for graphical output?","The GPU (Graphics Processing Unit).","What programming language is named after a type of Indonesian coffee?","Java."
C,5,"What does URL stand for?","Uniform Resource Locator.","What does the acronym Wi-Fi stand for?","Wireless Fidelity."
C,4,"The keyboard layout QWERTY is named after the first six what?","Letters on the top row of the keyboard.","What is 1,024 gigabytes called?","A terabyte (TB)."
C,3,"What is the main circuit board in a computer?","The motherboard.","What year was the first iPhone released?","2007."
C,2,"What does CPU stand for?","Central Processing Unit.","Who is known as the “Father of the Computer”?","Charles Babbage."
