suit,card,question a,answer a,question b,answer b
D,5,"What is the result of the expression '5' + 5 in JavaScript?","'55' (The number is converted to a string and concatenated).","What is a 'function' in programming?","A reusable block of code that performs a specific task."
D,4,"What is the command to print something to the console in Python?","`print()`.","What symbol is used for multiplication in most programming languages?","The asterisk `*`."
D,3,"What is a 'comment' in code for?","To explain the code to other programmers; it is ignored by the computer.","What is the file extension for a JavaScript file?",".js."
D,2,"What do you call a single instruction in a computer program?","A statement.","What is the first programming language many people learn?","Python or JavaScript."
H,Ace,"What was the codename for the first version of Android?","Astro Boy.","What is Google's '20% time' policy?","An internal policy that allows employees to spend 20% of their paid work time on side projects of their own choosing."
H,King,"What is the main difference between Google Cloud's 'Compute Engine' and 'App Engine'?","Compute Engine provides raw virtual machines (IaaS), while App Engine is a platform for building and hosting web applications (PaaS).","What does the 'GD' in 'GDSC' and 'GDG' stand for?","Google Developer."
H,Queen,"Who are the two co-founders of Google?","Larry Page and Sergey Brin.","What is 'Google Colab'?","A free, cloud-based Jupyter notebook environment that allows you to train machine learning models on Google's hardware."
H,Jack,"What is the name of Google's flagship annual developer conference?","Google I/O.","What is a 'Code of Conduct' at community events?","A set of rules outlining the norms, rules, and responsibilities for individuals and groups."
H,10,"Which Google service offers cloud storage for files?","Google Drive.","What is the goal of a university's 'career services' department?","To help students with career planning, job searching, and professional development."
H,9,"What is the name of Google's smart speaker and home assistant?","Google Nest (formerly Google Home).","What is a 'syllabus' in a university course?","An outline of the subjects in a course of study or teaching."
H,8,"What does 'I/O' stand for in Google I/O?","Input/Output, and 'Innovation in the Open'.","What are 'office hours' at a university?","A designated time when a professor or teaching assistant is available to meet with students."
H,7,"What is Google's mapping service called?","Google Maps.","What is an 'internship'?","A temporary position with an emphasis on on-the-job training rather than merely employment."
H,6,"What Google product allows you to schedule meetings and events?","Google Calendar.","What is a 'campus'?","The grounds and buildings of a university or college."
H,5,"What is the name of Google's web analytics service?","Google Analytics.","What is a 'dean' at a university?","The head of a college or university faculty or department."
H,4,"Which Google platform is used for advertising?","Google Ads.","What is a 'dormitory' or 'residence hall'?","A building primarily providing sleeping and residential quarters for large numbers of people, such as university students."
H,3,"What is the parent company of Google?","Alphabet Inc.","What is a 'lecture'?","An educational talk to an audience, especially one of students in a university or college."
H,2,"What year was Google founded?","1998.","What is a 'final exam'?","A test given to students at the end of a course of study or training."
C,Ace,"What does the 'C' in the 'C programming language' stand for?","Nothing. It's the successor to the B programming language.","In what year was the first text message (SMS) sent?","1992."
C,King,"What is Moore's Law?","An observation that the number of transistors in an integrated circuit doubles about every two years.","What does the acronym 'SQL' stand for?","Structured Query Language."
C,Queen,"Who is considered the first computer programmer?","Ada Lovelace.","What was the first object to be sold on eBay?","A broken laser pointer."
C,Jack,"What does the acronym 'BIOS' stand for?","Basic Input/Output System.","What does it mean to 'zip' a file?","To compress it so it takes up less storage space."
C,10,"What is the main function of a router in a network?","To forward data packets between computer networks.","What does 'malware' stand for?","Malicious Software."
C,9,"What does 'RAM' stand for?","Random Access Memory.","What is a 'cookie' in the context of web browsing?","A small piece of data sent from a website and stored on the user's computer."
C,8,"What is the name of the default font in Microsoft Word?","Calibri.","What is 'phishing'?","A fraudulent attempt to obtain sensitive information by disguising as a trustworthy entity in electronic communication."
C,7,"What company's slogan was 'Think Different'?","Apple.","What is a 'firewall'?","A network security system that monitors and controls incoming and outgoing network traffic."
C,6,"Who co-founded Microsoft with Bill Gates?","Paul Allen.","What is '4K' resolution?","A display resolution of approximately 4,000 pixels horizontally."
C,5,"What does 'GIF' stand for?","Graphics Interchange Format.","What is a 'screenshot'?","An image taken of the contents of a computer display."
C,4,"What is the central processing unit of a computer often called?","The 'brain'.","What does 'CC' stand for in an email?","Carbon Copy."
C,3,"What does 'Wi-Fi' use to transmit data?","Radio waves.","What is the process of turning a computer on called?","Booting up."
C,2,"What does a 'keyboard' do?","Allows a user to input text and characters.","What does 'IT' stand for?","Information Technology."
