suit,card,question a,answer a,question b,answer b
D,10,"In Python, what is a list comprehension?","A concise way to create lists.","What is 'recursion'?","A method of solving a problem where the solution depends on solutions to smaller instances of the same problem."
D,9,"What does the acronym 'JSON' stand for?","JavaScript Object Notation.","In web development, what is the 'DOM'?","Document Object Model - a programming interface for web documents."
D,8,"What is the difference between `let` and `const` in JavaScript?","`let` allows a variable to be reassigned, while `const` does not.","What is an 'array'?","A data structure that can store a collection of elements of the same type."
D,7,"Which tag is used to define the main content of an HTML document?","The `<body>` tag.","What is a 'loop' in programming?","A control structure that repeats a sequence of instructions until a specific condition is met."
D,6,"What is the file extension for a Python script?",".py.","What is 'pseudocode'?","An informal, high-level description of the operating principle of a computer program or other algorithm."
D,5,"What is the result of the expression '5' + 5 in JavaScript?","'55' (The number is converted to a string and concatenated).","What is a 'function' in programming?","A reusable block of code that performs a specific task."
D,4,"What is the command to print something to the console in Python?","`print()`.","What symbol is used for multiplication in most programming languages?","The asterisk `*`."
D,3,"What is a 'comment' in code for?","To explain the code to other programmers; it is ignored by the computer.","What does HTML stand for?","HyperText Markup Language."
D,2,"What do you call a single instruction in a computer program?","A statement.","What is the most popular programming language for web development?","JavaScript."
H,Ace,"What is the main goal of the Google Developer Student Clubs (GDSC) program?","To help students bridge the gap between theory and practice and build their skills for tech careers.","What is Google's '20% time' policy?","An internal policy that allows employees to spend 20% of their paid work time on side projects of their own choosing."
H,King,"What is the name of Google's open-source machine learning platform?","TensorFlow.","What is the main difference between Google Cloud's 'Compute Engine' and 'App Engine'?","Compute Engine provides raw virtual machines (IaaS), while App Engine is a platform for building and hosting web applications (PaaS)."
H,Queen,"Who are the two co-founders of Google?","Larry Page and Sergey Brin.","What does WTM stand for in the context of Google's community programs?","Women Techmakers."
H,Jack,"What is the name of Google's flagship annual developer conference?","Google I/O.","What is a 'hackathon'?","An event where people engage in collaborative computer programming over a short period."
H,10,"Which Google service offers cloud storage for files?","Google Drive.","What is Flutter?","An open-source UI software development kit created by Google."
H,9,"What is the name of Google's smart speaker and home assistant?","Google Nest (formerly Google Home).","What is a 'syllabus' in a university course?","An outline of the subjects in a course of study or teaching."
H,8,"What does 'I/O' stand for in Google I/O?","Input/Output, and 'Innovation in the Open'.","What is a 'study jam' in the context of GDGs?","A community-run study group for developers."
H,7,"What is Google's mapping service called?","Google Maps.","What is an 'internship'?","A temporary position with an emphasis on on-the-job training rather than merely employment."
H,6,"What Google product allows you to schedule meetings and events?","Google Calendar.","What is a 'campus'?","The grounds and buildings of a university or college."
H,5,"What is the name of Google's web analytics service?","Google Analytics.","What is the official mascot of the Android operating system?","The green robot (Bugdroid)."
H,4,"Which Google platform is used for advertising?","Google Ads.","What is an 'alumni'?","A former student of a particular school, college, or university."
H,3,"What is the parent company of Google?","Alphabet Inc.","What is a 'lecture'?","An educational talk to an audience, especially one of students in a university or college."
H,2,"What year was Google founded?","1998.","Who is the current CEO of Google?","Sundar Pichai."
C,Ace,"The first computer bug was famously a literal insect. What type of insect was it?","A moth.","What does the acronym DNS stand for?","Domain Name System."
C,King,"What is Moore's Law?","An observation that the number of transistors in an integrated circuit doubles about every two years.","What does the 'G' in 5G stand for?","Generation."
C,Queen,"Who is considered the first computer programmer?","Ada Lovelace.","What was the original name of the Google search engine?","Backrub."
C,Jack,"What does 'HTTP' stand for?","Hypertext Transfer Protocol.","What does it mean to 'zip' a file?","To compress it so it takes up less storage space."
C,10,"Who is credited with inventing the World Wide Web?","Tim Berners-Lee.","What does 'malware' stand for?","Malicious Software."
C,9,"What does 'RAM' stand for?","Random Access Memory.","Which Git command downloads data from a remote repository without changing your files?","`git fetch`."
C,8,"Which data structure uses the LIFO (Last In, First Out) principle?","A stack.","What is the name of the default font in Microsoft Word?","Calibri."
C,7,"What company's slogan was 'Think Different'?","Apple.","What does 'USB' stand for?","Universal Serial Bus."
C,6,"Who co-founded Microsoft with Bill Gates?","Paul Allen.","What computer part is responsible for graphical output?","The GPU (Graphics Processing Unit)."
C,5,"What does 'GIF' stand for?","Graphics Interchange Format.","What does URL stand for?","Uniform Resource Locator."
C,4,"The '@' symbol is most commonly used in what type of address?","An email address.","What is 1,024 gigabytes called?","A terabyte (TB)."
C,3,"What does 'Wi-Fi' use to transmit data?","Radio waves.","What is the main circuit board in a computer?","The motherboard."
C,2,"What does a 'keyboard' do?","Allows a user to input text and characters.","Who is known as the “Father of the Computer”?","Charles Babbage."
